Date,Value,Anomaly
190001,51.38,-0.86
190101,51.74,-0.5
190201,51.75,-0.49
190301,51.73,-0.51
190401,51.53,-0.71
190501,51.47,-0.77
190601,51.26,-0.98
190701,51.22,-1.02
190801,51.21,-1.03
190901,51.56,-0.68
191001,51.57,-0.67
191101,51.82,-0.42
191201,51.78,-0.46
191301,51.59,-0.65
191401,51.56,-0.68
191501,51.58,-0.66
191601,51.33,-0.91
191701,51.23,-1.01
191801,51.03,-1.21
191901,51.16,-1.08
192001,51.16,-1.08
192101,51.17,-1.07
192201,51.64,-0.6
192301,52.23,-0.01
192401,51.91,-0.33
192501,51.81,-0.43
192601,52.04,-0.2
192701,51.81,-0.43
192801,51.71,-0.53
192901,51.81,-0.43
193001,51.78,-0.46
193101,51.8,-0.44
193201,52.08,-0.16
193301,52.03,-0.21
193401,52.35,0.11
193501,52.99,0.75
193601,52.75,0.51
193701,52.45,0.21
193801,52.49,0.25
193901,52.55,0.31
194001,52.27,0.03
194101,52.48,0.24
194201,52.58,0.34
194301,52.51,0.27
194401,52.3,0.06
194501,52.16,-0.08
194601,52,-0.24
194701,52.11,-0.13
194801,52.07,-0.17
194901,51.9,-0.34
195001,52.04,-0.2
195101,51.95,-0.29
195201,51.6,-0.64
195301,51.81,-0.43
195401,52.11,-0.13
195501,52.27,0.03
195601,52.36,0.12
195701,52.51,0.27
195801,52.46,0.22
195901,52.23,-0.01
196001,52.01,-0.23
196101,51.94,-0.3
196201,51.87,-0.37
196301,51.72,-0.52
196401,51.94,-0.3
196501,51.86,-0.38
196601,51.81,-0.43
196701,51.89,-0.35
196801,51.84,-0.4
196901,51.54,-0.7
197001,51.46,-0.78
197101,51.58,-0.66
197201,51.51,-0.73
197301,51.49,-0.75
197401,51.7,-0.54
197501,51.91,-0.33
197601,51.82,-0.42
197701,51.66,-0.58
197801,51.94,-0.3
197901,51.61,-0.63
198001,51.46,-0.78
198101,51.7,-0.54
198201,52.04,-0.2
198301,51.87,-0.37
198401,52.03,-0.21
198501,52.05,-0.19
198601,51.95,-0.29
198701,52.04,-0.2
198801,52.26,0.02
198901,52.59,0.35
199001,52.64,0.4
199101,52.83,0.59
199201,52.92,0.68
199301,52.78,0.54
199401,52.38,0.14
199501,52.61,0.37
199601,52.5,0.26
199701,52.18,-0.06
199801,52.24,0
199901,52.83,0.59
200001,52.97,0.73
200101,53.11,0.87
200201,53.52,1.28
200301,53.61,1.37
200401,53.39,1.15
200501,53.29,1.05
200601,53.49,1.25
200701,53.42,1.18
200801,53.52,1.28
200901,53.39,1.15
201001,53.19,0.95
201101,52.95,0.71
201201,52.97,0.73
201301,53.25,1.01
201401,53.23,0.99
201501,53.31,1.07
201601,53.6,1.36
201701,53.86,1.62
201801,53.75,1.51
201901,54.01,1.77
202001,54.04,1.8
202101,54.03,1.79
202201,53.87,1.63
202301,53.73,1.49
202401,53.84,1.6
202501,54.31,2.07
